period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
11,1,11,892,215,9,1,592,439,0.25844594590000003,0.62515148,10464.1900546562,7892.9717170204,12982.2698664419,0.1939629847,1.3257604904,0.1256710225,0.1010796102,0.0090497738,14.7956960885,11.1601576568,798.9147702395,593.849992743,571.7289039812,428,0.4798206278,74.7249617955,18000.8870978077,0.2327665823,0.0,0.33333333330000003,59092.4314218964,55725.1436777678,0.06378742130000001,151.0875609882,531.8732455228,255.8386172071,0.0,43460.0786486823,0.2578125,0.0,0.8674304419000001,0.1963993453,0.012987013,0,0,1.0,0,-1.0,1.1279164464,0.9834665127000001,0.1914460285,0.2166666667,0.9016393443
12,1,12,894,215,6,4,589,412,0.3005093379,0.6148951438,11111.5173389323,7555.5970984249,14614.3422709238,0.23968406290000002,1.4706339147,0.1092757141,0.0618611934,0.0022421525,17.8292187535,12.1234921724,803.5345047118,557.2846743021,545.959516545,409,0.4574944072,69.8377519446,19227.341226108,0.23135290830000002,0.0,0.33333333330000003,63535.148978802,60222.4938890235,0.07423046,1130.062467127,556.2298480568,309.0542879811,0.0,43460.0786486823,0.19685039370000001,0.0,0.86863711,0.19704433500000001,0.0108695652,0,0,1.0,0,-1.0,1.1927156073,1.0042814627,0.25153374230000003,0.2916666667,0.8491620112
13,2,1,900,215,10,4,579,352,0.3920552677,0.5950559005,11357.5745796772,7120.8618678723,17187.3659860865,0.33919050840000003,1.5949718995,0.0845472035,0.022144342100000002,0.0067114094,22.8357233495,14.3173201711,803.7819689566,524.9805153339,500.3643868616,342,0.38,67.7277472308,18950.5131492514,0.2145613869,0.0,0.33333333330000003,68997.4656675862,63535.148978802,0.0459904702,0.0,508.9495646814,331.7949306175,0.0,43460.0786486823,0.2222222222,0.0,0.8696369637,0.19801980200000002,0.0,0,0,1.0,0,-1.0,1.2050018268,1.0460825375,0.2016460905,0.19166666670000002,0.8547008547
14,2,2,897,212,7,10,586,347,0.40784982940000003,0.5367777852,12065.0692662224,6689.4786381032,18745.0148207661,0.35635851020000003,1.8035888772000002,0.13079664770000002,0.062292761700000004,-0.0033333333,23.5944640396,13.08195251,806.0717314868,533.1589947215,514.2481223885,334,0.37235228540000004,66.5477032432,19472.2202640262,0.2058379568,0.0,0.33333333330000003,74823.2984638089,68997.4514883574,0.03,0.0,506.641108742,448.4123704699,0.0,43460.0786486823,0.094488189,0.0,0.8683333333000001,0.195,0.0,0,0,1.0,0,-1.0,1.137681917,1.0858178467,0.2277432712,0.20512820510000002,0.7924528302
15,2,3,897,210,7,7,583,326,0.44082332760000004,0.5008936682,12511.9968874786,6386.7938595976,20585.6891121719,0.3921992691,1.9590419172,0.0861909507,0.0370431045,0.0,25.8294756356,13.184748835,802.1056971195,491.4245025755,483.5959008134,350,0.3901895206,63.1935622378,20356.184023303,0.1993546182,0.0,0.33333333330000003,81478.9321593924,74883.2038529926,0.03,59.9269484159,504.7798093684,547.0925783049,42.3127689365,43460.0786486823,0.0806451613,0.1428571429,0.8678929766,0.1956521739,0.0,0,0,1.0,0,-1.0,1.0739468821,1.0655058753,0.29313929310000003,0.29059829060000003,0.7333333333000001
16,2,4,901,211,12,8,581,312,0.4629948365,0.5168254038,13934.5254942409,6472.6304813977,23872.7005358386,0.4162987353,2.1528380979,0.09892395820000001,0.1136931714,0.0044593088,30.9624837656,14.3821701201,800.299399467,515.0187011454,506.8088117346,365,0.4051054384,65.8111005947,20306.8088204221,0.18469347160000002,0.0,0.33333333330000003,89260.9916974704,81478.8211983028,0.03,0.0,550.2113256992,588.1763967127,37.9650710136,43460.0786486823,0.07438016530000001,0.1428571429,0.8655462185,0.1966386555,0.0,0,0,0.5,0,-0.5,1.0753254252,1.0808135506,0.3326359833,0.29059829060000003,0.625
17,2,5,904,207,12,9,580,323,0.44310344830000004,0.4927293937,15192.2215763413,6458.1542436317,25097.7381830828,0.39467766120000003,2.3524092184,0.0927014069,0.09025754650000001,0.0033296337,31.5349094216,13.405367219,800.1589963879,543.3113669243,506.068961662,404,0.44690265490000003,64.7050837936,21398.701180238,0.1787483924,0.0,0.33333333330000003,97977.8999457513,89260.8953125942,0.03,0.0,515.4949140092,747.3510152658,231.8561012566,43460.0786486823,0.016806722700000002,0.0,0.8646362098,0.20135363790000002,0.0,0,0,0.6666666667000001,0,-0.6666666667000001,1.0222274487,1.001029106,0.3220338983,0.37815126050000003,0.6000000000000001
18,2,6,900,206,6,10,579,329,0.4317789292,0.50809163,16747.4941045825,6509.4349741399,27115.6691782037,0.3823684013,2.5728030422,0.0936885565,0.10237294920000001,-0.0044247788,35.207943601,13.6846633898,799.497198966,578.4758625391,509.9485388257,399,0.4433333333,64.1419743817,22713.8206992857,0.1737715683,0.0,0.33333333330000003,107727.5351897714,99917.7909715317,0.03,1940.0330925874,505.0947610935,908.8641805892,403.7694194957,43460.0786486823,0.017699115,0.2,0.862244898,0.1989795918,0.0,0,0,0.75,0,-0.75,1.1550748346,1.0712039776,0.32484076430000003,0.3418803419,0.5714285714
19,2,7,898,203,4,6,575,324,0.43652173910000003,0.5270272492,17298.0960989099,6410.4868763891,28242.8791244547,0.3875236295,2.6984059764,0.0488194907,0.032876679400000004,-0.0022222222,39.1135467151,14.4950563618,794.3247831591,587.6371865142,518.6372938719,431,0.4799554566,63.6713355476,23644.0004557337,0.1671865326,0.0,0.33333333330000003,117603.7187823283,107727.484418379,0.03,0.0,456.4717110891,987.2954649737,530.8237538846,43460.0786486823,0.0089285714,0.2,0.8613013699000001,0.198630137,0.0,0,0,1.0,0,-1.0,1.1370794247,1.1104298849,0.3782051282,0.3534482759,0.4769230769
20,2,8,897,200,11,12,568,309,0.4559859155,0.5352135769,16004.7945084483,5888.1001141572,27066.231127297,0.4086803429,2.718159372,0.0073203942,-0.0747655455,-0.0011135857,41.9452581376,15.4314933002,791.7992983116,584.3329635489,515.6135495318,411,0.4581939799,64.2986549178,23817.7510912095,0.15654880910000002,0.0,0.33333333330000003,128240.345410771,117603.6366169672,0.03,0.0,344.568317494,1038.7046573022,694.1363398082,43460.0786486823,0.0090909091,0.25,0.8630849220000001,0.20103986140000002,0.0,0,0,0.8,0,-0.8,1.0181287897,1.0916835345,0.3383947939,0.3362068966,0.4807692308
21,2,9,893,199,7,11,566,328,0.4204946996,0.5919242571000001,15836.5333045566,5751.2195189551,25141.4622632583,0.3701029344,2.7535956943,0.0130368818,-0.0105131749,-0.0044593088,43.9450432315,15.959148731199999,788.0964598353,594.1340254918,519.5791849345,413,0.4624860022,64.8636316882,23974.0016423775,0.151322969,0.0,0.33333333330000003,134440.7724455025,128240.3027991403,0.03,0.0,249.7399699211,980.8891718833,731.1492019622,43460.0786486823,0.0188679245,0.25,0.8603839442000001,0.2006980803,0.0,0,0,0.8333333333,0,-0.8333333333,1.026360231,1.0420592086,0.3144104803,0.3217391304,0.6666666667000001
22,2,10,885,197,6,14,561,346,0.3832442068,0.6724196961000001,15933.6078341793,5940.1061449672,23767.7851889498,0.32961326820000003,2.6823776285000003,-0.0258636611,0.006129784100000001,-0.0089585666,45.3335295793,16.9005024116,783.4604224101,618.9175780558,555.3921142307,549,0.6203389831,67.8173174342,24118.1781966279,0.1428353008,0.0,0.0,144625.395308207,141066.0410821615,0.03,6625.3815001008,238.0856732356,906.7003407708,668.6146675352,43491.5052079668,0.019417475700000002,0.25,0.8604240283,0.19964664310000002,0.0,0,0,1.0,0,-1.0,0.9671442535,1.0016964226,0.2737306843,0.3097345133,0.6304347826000001
23,2,11,877,193,8,16,558,367,0.3422939068,0.7252923843,17236.6636489947,6342.6886440134,24110.6638987682,0.28510207260000003,2.7175642092,0.013117683500000001,0.0817803368,-0.009039548000000001,46.213129567,17.0053496476,775.2346798679,636.0451920345,576.4665671438,627,0.7149372862000001,69.2547525761,24090.6537863117,0.1364859619,0.0,0.0,152397.6228408194,144625.395308207,0.03,0.0,190.959130123,896.3906348176,705.4315046947,44073.4583397848,0.0208333333,0.25,0.859430605,0.2010676157,0.0,0,0,0.75,0,-0.75,1.0246960528,1.0252821644,0.21158129180000002,0.27433628320000003,1.0
24,2,12,871,193,10,16,545,364,0.3321100917,0.7838566385,18193.70527858,6566.7340194781,25061.3291941759,0.2740327084,2.7705865998,0.019510998300000002,0.0555236007,-0.0068415051,50.6433599894,18.2789305318,767.4739548687,637.5778134421,585.6206426552,602,0.6911595867,65.4937346899,24244.3260854462,0.1315020931,0.0,0.0,159924.667363672,164390.7354600695,0.03,11993.1126192501,180.2222571562,747.34923455,567.1269773938,44715.419939276,0.022222222200000002,0.5,0.8576576577,0.2,0.0,0,0,1.0,0,-1.0,0.9385608139,1.0741343571,0.1711711712,0.1711711712,1.0
