period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
11,1,11,11316,2606,110,50,7164,5068,0.29257398100000004,0.8140233017,116617.6654549935,124347.128390217,156605.4671573786,0.2553410326,0.9378396346000001,0.0160148573,0.015360264,0.0053304904,12.4464525615,13.2714081406,10065.0196797857,9225.9595304628,7869.5853355717,7338,0.6484623542,67.1193620863,149830.0592397132,0.20222852970000002,0.0,0.33333333330000003,588517.1007922958,608206.1304383657,0.03,40072.1951352013,6501.8342156346,2288.0255580889,0.0,444429.054298508,0.3796296296,0.0,0.61,0.0606666667,0.0037406484,0,0,0.5454545455,0.0,-0.5454545455,1.0070715481,1.0384807544,0.17672107880000001,0.1736263736,0.9912335629000001
12,1,12,11356,2597,101,61,7116,4825,0.321950534,0.7965313968000001,115204.7586221054,123181.8949783749,161410.8205672863,0.28626372,0.9352409998000001,-0.0027708733,-0.0121157187,0.0035348180000000003,13.0922987223,13.9988502691,10087.8278558853,9128.3215009297,7607.7718603954,6922,0.6095456147,64.0641714665,149024.2528536957,0.1972782352,0.0,0.33333333330000003,601705.3726161666,588517.1007922943,0.03,0.0,6861.4865927515,2367.8602958035,0.0,444429.054298508,0.38130841120000003,0.0,0.6099062918,0.0602409639,0.0096774194,0,0,0.7037037037,0.0,-0.7037037037,1.0102065729,1.0500786719,0.2086894587,0.2,0.9862565445
13,2,1,11399,2582,108,65,6987,4348,0.3777014455,0.7808845447,116317.5815052966,122330.1365850083,177570.2380125649,0.34494889,0.9508497640000001,0.016689563600000002,0.0096595219,0.0037865446,14.6101427287,15.365353478,10095.3646369711,9322.1562779359,7598.9386527863,7151,0.6273357312,66.4433474999,145708.7768101816,0.1903012816,0.0,0.6666666667000001,613131.917934105,601705.3726161614,0.03,0.0,6795.0673879741,2947.7538224239,0.0,444429.054298508,0.1763967357,0.032786885200000004,0.6093560962,0.060760855,0.0,0,0,0.7419354839000001,0.0,-0.7419354839000001,0.9969728916,1.04971431,0.23042793760000002,0.2234513274,0.9210069444000001
14,2,2,11432,2564,114,81,7126,4265,0.40148751050000003,0.6900531938000001,118983.4115004914,121327.1604945468,188858.6168428785,0.3699868532,0.9806824046,0.0313747153,0.0229185473,0.0028949908,13.6225948299,13.8909342776,10103.9548079688,9601.5287056642,7675.2934054531,7198,0.6296361092,69.9721622056,137470.2266762995,0.1786926332,0.0,0.0,624666.3833972486,615815.6281674824,0.03,2683.7731930277,6741.5259755921,3334.4705141474,0.0,444429.054298508,0.1726984127,0.0338983051,0.6094466937,0.0605937922,0.0,0,0,0.6585365854,0.0,-0.6585365854,0.9969223753,1.0532814177,0.2759660968,0.2672605791,0.9944812362000001
15,2,3,11445,2541,91,78,7115,4393,0.3825720309,0.6918958868,118695.7330669673,119780.0785692328,182630.1237725698,0.35007582200000004,0.9909471966000001,0.010466989000000001,-0.0024178029,0.0011371589,13.4240437191,13.5466791421,10105.3744077264,9913.7415650938,7602.2075393409,7264,0.6346876365,72.1048282842,140293.4667829094,0.1784236351,0.0,0.33333333330000003,639452.354622652,632149.327699984,0.03,7482.9952223132,6803.36343591,3745.2000697464,0.0,444429.054298508,0.1258831085,0.0,0.6090613131,0.0609061313,0.0,0,0,0.6666666667000001,0.0,-0.6666666667000001,0.9964323364000001,1.024864554,0.3037700419,0.293986637,1.0
16,2,4,11459,2526,100,86,7089,4296,0.3939906898,0.7021951120000001,115100.1783332436,116849.9341784914,180434.8012090655,0.3620954629,0.9850256155,-0.0059756778,-0.030292198700000002,0.0012232416000000001,13.7859659366,13.9955405422,10092.6834598423,9668.3340635837,7396.1403955091,6904,0.6024958548,69.7951082288,147568.0915169433,0.1823353173,0.0,0.33333333330000003,656083.7548464369,659313.7326108628,0.03,19861.4705153869,5871.6098525946,3511.0429306338,0.0,444429.054298508,0.14100064980000002,0.0,0.6089804831,0.061143715,0.0,0,0,0.7636363636,0.0,-0.7636363636,0.9958130049,1.040319249,0.3161796773,0.3169642857,1.0
17,2,5,11459,2507,89,89,7057,4298,0.39095933120000004,0.6843687853,110171.0747971249,110435.7065206176,171848.164518647,0.3589045591,0.9976037485,0.0127693462,-0.0428244648,0.0,13.6273444658,13.6600774464,10077.830138347,9577.091206095,7347.2590196643,6801,0.5935072868,70.0718524402,147380.4069143351,0.17777430660000001,0.0,0.0,676226.8718673511,656083.6687203198,0.03,0.0,5144.8626950041,3963.6950064925,0.0,444429.054298508,0.15171503960000002,0.0,0.6083733699,0.0612216884,0.0,0,0,0.7049180328,0.0,-0.7049180328,1.0038976717,1.0174045817,0.33835356050000004,0.3340807175,0.9975216853000001
18,2,6,11465,2494,107,101,7018,4311,0.385722428,0.7162458961,105931.9830290426,107859.8896221091,163827.2150435931,0.35339202950000004,0.9821258245000001,-0.0155151021,-0.0384773569,0.0005236059,13.8363350303,14.0881490789,10054.0258986673,9769.5751450734,7389.2825067291,6776,0.5910161361,70.18713927,148013.8986738112,0.1737428058,0.0,0.0,699294.773424426,685890.4979101375,0.03,9663.7424449797,4853.9579907323,3811.0482248399,0.0,444429.054298508,0.0895020188,0.0,0.6076806189,0.061058157200000004,0.0,0,0,0.7428571429,0.0,-0.7428571429,1.0018898562,1.0399200323,0.34912461380000004,0.3371040724,0.9493506494
19,2,7,11452,2476,83,96,6998,4293,0.3865390111,0.7278843357,100426.1946199704,104262.6004088854,155519.0739466631,0.3542515907,0.9632043919000001,-0.0192657928,-0.0519747507,-0.0011338857,13.7287180587,14.2531721977,10032.7034616118,9788.3135785253,7387.7908576799,6724,0.58714635,69.8826186174,148472.4835594009,0.17171699340000002,0.0,0.33333333330000003,712078.8580111185,699294.614994243,0.03,0.0,4129.5083589917,3812.3471368709,0.0,444429.054298508,0.1040383299,0.0188679245,0.6073363902000001,0.061553425,0.0,0,0,0.7435897436000001,0.0,-0.7435897436000001,1.0099513671,1.0271292426,0.3697068404,0.3634311512,1.0
20,2,8,11440,2455,91,103,6957,4167,0.4010349288,0.7320867499,96982.0547067001,103148.962161848,153820.2416282186,0.3695104514,0.9402135773,-0.023869092300000002,-0.0342952347,-0.0010478519000000001,13.8102369043,14.6884040372,10002.1604800208,9647.5217935479,7330.975399189,6530,0.5708041958,69.3770598703,148221.2127492897,0.1692247594,0.0,0.0,723676.45158424,712078.7342207592,0.03,0.0,3882.0490011751,3196.9589178264,0.0,444429.054298508,0.1041229909,0.0,0.6070729662000001,0.0616438356,0.0,0,0,0.6785714286,0.0,-0.6785714286,1.007427126,1.0260551059,0.39386265460000003,0.3854875283,1.0
