year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
11,9600.666666666666,1060.6666666666667,474,219,4341.333333333333,2932.1666666666665,0.32452302307500003,1.0091011562,1702016.0761103432,1066675.8697867861,2396839.4483932885,0.28897160324166665,1.6331620394000002,-0.006036229208333333,-0.006662716733333334,0.0022229744500000003,45.900974471825,28.78411510215,95191.9983769176,91398.6301687478,83910.2703768833,5758.0,0.5999967232666666,75.00652860375833,677012.0958305672,0.15955632935833333,0.0,0.4722222222166667,3392489.8625646667,3382893.3959004544,0.03,208775.6199059393,32294.97746011,61378.1762017791,29083.1987416694,529672.1551548174,0.01778504146666667,0.10416666666666667,0.5781169138583334,0.21785745006666668,0.0,0.0,0.0,0.5214268743083333,0.16363401676666667,-0.07254317358333333,0.9195773051166668,0.8568774013666668,0.3222490299833333,0.508921124625,0.6817207633166666,-0.07817245034443432,-0.28111376745674665,0.02826643817888086,0.32452302307500003
12,9800.416666666666,994.1666666666666,373,237,4334.166666666667,2899.4166666666665,0.33108752677500003,0.8703511136833334,1703730.8587961209,1009698.203274901,2424172.7235891833,0.29588160710833333,1.9634913509,0.016268687049999998,0.006074093258333333,0.0011615383083333334,43.885667383475,26.021776320525003,97372.7964253047,86029.808007201,79970.90093797361,4816.166666666667,0.4915751613583334,74.01668898433333,739837.4534078436,0.15919671275,0.0,0.3611111111166667,3560438.3532402334,3545519.2622459424,0.031031710833333333,226149.26639820248,35505.1847553547,70776.8319716665,35271.6472163118,565555.2972608506,0.015044456341666667,0.08531746033333333,0.578166869025,0.22119718430000002,0.0,0.0,0.0,0.44335076464166673,0.18360748115,-0.05738457524999999,0.9348508896583333,0.8549820722666667,0.349113515775,0.558643368575,0.5347022885916667,0.20226364777701922,0.0010075008749015346,0.020805846816193352,0.33108752677500003
13,9661.166666666666,896.8333333333334,427,812,4176.416666666667,2551.1666666666665,0.3896678712583334,0.7494657046333334,2009271.597254477,828528.9976133788,3143256.6287338794,0.3575451276333333,2.976794535,0.035711451125,0.025983704833333333,-0.003319609766666667,64.40541233733333,26.417311670516668,96886.5863911186,66138.2726220267,62072.4250579063,3599.0,0.3724498864916667,44.94479934626667,697319.7038585506,0.14947702604166666,0.0,0.4722222222166667,3924662.892317002,4007570.8535256195,0.03,333852.081021043,50026.4838724579,105759.4182645589,55732.9343921009,627692.4586861343,0.017708438733333335,0.19999999999999998,0.5757752294916667,0.22254688965000002,0.0,0.0,0.0,0.4823308334166667,0.19675454604166667,-0.06112373090833334,0.9722101975083334,0.7884555984916667,0.28099946604166665,0.4863583434083334,0.47744687995833335,0.5160721403919273,0.17933627067966307,-0.014208579567195234,0.3896678712583334
14,9354.25,789.3333333333334,544,663,3942.4166666666665,2551.9166666666665,0.3526267892750001,0.8236336678499999,3720599.425253262,1042865.6499128039,5432786.3831826905,0.31855451502500004,3.7497702691,0.0199419326,0.05863002283333333,-0.0010538849333333333,103.64150391879167,29.215322430300002,93793.6195352449,69447.1127785473,64579.199375376,4871.833333333333,0.5210818730750001,55.923790414991664,700222.2681142716,0.12319229995000001,0.0,0.4722222222166667,4769995.662176951,4697501.033878216,0.03,1631770.864355662,157100.9247290217,161752.4050034826,21431.6532954266,656132.8589717568,0.024554804600000004,0.476984126975,0.5723255518416667,0.2230050337416667,0.0,0.0,0.0,0.579629335,0.20865746405833333,0.022716061583333336,0.9237865620666668,0.7759778956000001,0.19791541845833335,0.34486648453333335,0.21584233400833333,0.2596671436377789,0.85171553230394,-0.03176807493918943,0.3526267892750001
15,9428.583333333334,719.8333333333334,485,307,3818.4166666666665,2763.5,0.27646889603333336,0.895294702,5742084.283176141,1170784.1494547564,7537379.643018799,0.23838831160833332,5.8433131437,0.03856245220833334,0.03351312565,0.0015760275000000002,150.21148114348333,30.576972473175,94225.4256314113,88219.3535478371,80555.3683847945,6185.666666666667,0.6560423511083334,74.86886743135834,1034270.1225963244,0.11684464212500001,0.027777777775,0.4166666666583334,5609832.496623703,5455468.190084748,0.035297183616666665,4821280.67693801,257079.79096715798,242787.5868399597,5854.7016801726,656132.8589717568,0.032728724741666666,0.4767857142833334,0.5677271339083333,0.22783195231666667,0.0,0.0,0.0,0.5744798447083334,0.223075036975,-0.007145637925000001,0.9430574116583333,0.83928206445,0.19337488089166666,0.36156726028333336,0.14080792255,0.5583123029834254,0.5433223593494687,0.007946477091518078,0.27646889603333336
16,9639.916666666666,661.25,477,222,3692.1666666666665,2611.8333333333335,0.29226082193333336,0.9104678124666666,7011631.81087625,1077979.640738213,9422423.635178478,0.25501139150833335,7.4915579949,0.02178636249166667,0.0033875080083333336,0.0022077769083333333,226.00803404638336,34.37628009095,96355.312356781,94482.0921458574,86094.980741489,7126.083333333333,0.7386552547666666,78.84930447823334,713990.1484795362,0.11147536264166667,0.0,0.5277777778,6940539.356266568,6766258.3240113575,0.03998824265,5335116.01899844,256185.2381227307,343336.8423284882,92038.4983407135,719774.6976415426,0.032694957475,0.534722222225,0.562945807725,0.23035590419166665,0.0008970441416666667,0.0,0.0,0.5663373615583334,0.24208904825833333,-0.005318931841666667,0.9430021617500001,0.8367979707666667,0.145981071475,0.31961052860833333,0.18437238578333334,0.2820736816025451,0.22109524435574457,0.022414113113493395,0.29226082193333336
17,9931.166666666666,606.0833333333334,473,148,3723.5833333333335,2651.8333333333335,0.28805830996666665,0.8719940294,7275694.073663192,898128.5260937295,9720832.028701527,0.25058769470833336,8.5063483732,0.011200374275000001,0.0015691115083333329,0.00273224045,274.51802686726666,33.864449217808335,99252.4228784544,103565.1712854152,93011.7657620491,8417.833333333334,0.8472794653583334,82.23383994855833,1114789.4073930643,0.083454567175,0.0,0.5555555555416667,9017577.414845722,8903476.301338278,0.03372518741666667,3466025.310868671,156789.4577972947,431552.749377979,274763.2915806848,977556.2726819802,0.029136037766666668,0.625,0.5571862009833334,0.23132889513333332,0.0038714848166666667,0.0,0.0,0.7473721568333334,0.2515086166666667,0.027057292516666668,0.9229775831833334,0.7653751938083334,0.07840973595,0.190974893975,0.3065094911833333,0.13545785522728848,0.03766060025817897,0.03021291677832627,0.28805830996666665
18,10274.583333333334,572.0833333333334,495,138,3323.4166666666665,2431.3333333333335,0.26912444651666667,1.1661697957833332,8751583.610092161,1165691.2057808263,11397413.326900465,0.23065731212499999,6.498387816,-0.021303100391666666,0.03999344744166666,0.0029016407,389.10545766013337,51.75816006393333,102684.02788707,110114.0848015212,99598.927176779,9483.0,0.9225196333333333,84.22755127465832,884656.3447164409,0.07453363943333334,0.0,0.6111111110916667,10596859.712522194,13143304.574302804,0.03246532710833333,3043381.3625459555,166620.65379646712,411389.6124469281,244768.95865046102,1242351.492935373,0.032014143375000005,0.0,0.5501720395416667,0.23178620074166667,0.00731802735,0.0,0.0,0.926540608425,0.25667067253333337,0.053133381675,1.0195613622833333,0.863999402,0.024357608691666668,0.05411989659166667,0.3346526101416667,-0.23605435247940898,0.20285206077746532,0.03457969020088281,0.26912444651666667
19,10716.583333333334,692.4166666666666,617,78,3425.3333333333335,2564.3333333333335,0.24759474635833334,1.8544631153666666,10009108.790134382,1969357.5058912402,12724176.53581839,0.20799446983333333,4.417493776,-0.030561705858333333,-0.038055879225,0.0042010822250000005,393.6296955344417,78.31844430390834,106984.26354398631,118159.7201852935,106043.7899410138,10373.083333333334,0.9680513134583334,84.71058151845,745206.874138942,0.046990248775,0.0,0.916666666675,11857501.253055317,11844378.051141996,0.040088450591666665,4620572.6735208025,81499.3646917154,281992.7197939763,200493.3551022608,1421035.1408966146,0.04019437846666667,0.0,0.5037992904083334,0.21468715710833333,0.0,0.0,0.0,0.9858702879750001,0.25736535215000006,0.0164749042,1.1401968183083333,1.0481410389916668,0.0209990505,0.006050519216666667,0.5220182771083334,-0.32021696748792505,0.14369115763141038,0.04301877610608695,0.24759474635833334
20,11312.916666666666,895.8333333333334,721,136,3888.5833333333335,2498.5833333333335,0.3552007094666667,3.2217389149333333,9819820.827723078,3366943.02004234,14481413.53235081,0.3212639046916667,2.8669510633,-0.03348477535,-0.004897949900000007,0.004332815358333333,403.3187781955833,138.91886808975,112334.4082622291,119789.6724081455,108318.9167197689,10345.25,0.9150173643333334,82.58719336782501,182316.1202508323,0.03959146985833333,0.1111111111,0.8888888889000001,12442984.184411693,13167193.454000922,0.03,4835551.870616644,38751.285317315196,185055.7394404941,146304.454123179,1563300.3184087577,0.040663653991666666,0.0,0.4479997562333333,0.19290725805833334,0.0,0.0,0.0,0.9003695271916667,0.25726104042500003,0.07655995773333334,1.4041589598500002,1.2821403808666667,0.06277403491666667,0.044241485625,0.8749779989416666,-0.35100054268871017,-0.01891157008882527,0.05564584483549617,0.3552007094666667
