year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
11,17860.333333333332,1819.6666666666667,916,155,4761.25,4168.666666666667,0.12558793268333335,1.8090864616333333,19256515.714391164,2568462.276008051,21325780.598386526,0.09387350535833333,6.5702967715,-0.009215271241666668,-0.019392075050000002,0.0035651907500000002,620.1552814436417,83.642939315975,172841.71683344612,224643.2929920305,172841.71683344612,17784.0,0.995724836875,82.43645884345,2285702.837334767,0.05474878795833333,0.19444444443333334,0.6388888889083334,48107781.38285785,53365757.821491055,0.022305826308333335,15667983.632940521,1087403.341861735,13659985.817851521,12572582.475989787,30253225.273369085,0.3443582109,0.8925797313333333,0.9332093053916667,0.541981265975,0.0,0.0,0.0,0.0,0.0,0.0,0.754300635475,0.9464701395666667,0.0028857887666666666,0.0,0.09219116365,-0.11220378950429588,-0.1835574049534664,0.04544212908764522,0.12558793268333335
12,18579.5,1758.8333333333333,860,170,5182.75,4352.083333333333,0.16938928811666668,1.7175409411416667,17737719.21591526,2870991.9057192695,20731106.213286754,0.139263511,6.3497093429,-0.0019354964083333336,0.027067723983333337,0.0031053989499999998,505.08054311897496,81.65858976406666,179970.3950888013,223257.06155183702,179309.1695517977,18165.583333333332,0.9777759617166667,82.51156666183333,4841619.8841442615,0.060119676775,0.13888888887500003,0.5000000000000001,65223031.15047887,63502701.914858215,0.019608615983333334,14101578.757980771,793957.3629331763,12668280.129224073,11874322.766290896,42168066.464951515,0.275699349275,0.951432959275,0.9340159596250001,0.5499328206416667,0.0,0.0,0.0,0.0,0.0,0.0,0.782953463125,0.9533528146416668,0.003136704125,0.0,0.14371045025,-0.03357343454512485,-0.07887182297163176,0.04026613911647803,0.16938928811666668
13,19244.5,1708.0,813,184,5251.666666666667,4542.0,0.13918494176666668,1.8736400686083334,21330748.378695674,3337411.585805718,24149919.10235474,0.11083435439166667,5.759823517,-0.007404550916666666,-0.007460680533333334,0.0027329917,567.0648325950166,88.83814908005,186923.8503858082,235949.4970017468,186891.9421481734,19160.0,0.995597224375,82.732596441025,5401973.051093072,0.04370594139166667,0.027777777775,0.666666666675,82877066.97655039,81673337.32581262,0.025604180308333335,15686830.861079259,1046186.8952719098,13657589.206073595,12611402.310801685,54742612.296178006,0.26016468884166666,0.9736798578583334,0.9347120378583335,0.5562664887166667,0.0,0.0,0.0,0.0,0.0,0.0,0.8281048838166667,1.0055297029999999,0.0028289174333333334,0.0,0.26064153625,-0.09289965792837229,0.20256432741119013,0.03579213649452351,0.13918494176666668
14,19875.916666666668,1655.0833333333333,808,217,5680.75,4529.916666666667,0.20322745887500002,1.9158917837666667,12643320.520445623,3432092.156120014,15365419.07397717,0.17432897291666669,4.0318013334,-0.024071458749999997,-0.007461984683333332,0.00248868675,306.8563120635333,85.41943124259166,193766.6460113348,216832.3088384297,187916.1384958921,18682.75,0.94043487185,80.76395367573333,8418099.689912349,0.05771145318333334,0.16666666665000002,0.33333333330000003,92923026.48888768,108311952.80440646,0.021721937733333335,9827864.349869676,362851.48148794484,8175136.759702038,7812285.278214092,62683140.81233333,0.15034813405,0.9367337659333334,0.9352405682000001,0.5624586608416667,0.0,0.0,0.0,0.0,0.0,0.0,0.9051022242416668,0.9784307014083334,0.0032085449250000004,0.0,0.5417889496416667,-0.30001304354200753,-0.4072725299655552,0.03281024015519596,0.20322745887500002
15,20449.5,1614.25,824,267,6481.916666666667,5557.0,0.15916918643333333,1.7390982273916666,24562211.08593214,5519412.044178667,27880376.770420287,0.1315200968,4.8971187515,0.016402487633333334,0.07219450267500001,0.0022793285416666666,299.90619688908333,68.11825715566667,200321.6122587621,204601.8716374125,188398.2365438672,18691.833333333332,0.9145981035,77.95146229239167,14675445.783401087,0.08959705029166666,0.1111111111,0.2222222222,105296099.83024877,105317274.44436747,0.0175278146,12219509.69038752,2201951.5059349486,9185382.347956859,6983430.84202191,69951462.05675587,0.14198362426666666,0.9644599365166667,0.9346770003833335,0.5697100758583333,0.0,0.0,0.0,0.0,0.0,0.0,0.98323460215,1.0100551159,0.0027922452416666668,0.0,0.24273262981666668,0.2146230298927656,0.9427025555677699,0.02885820779754389,0.15916918643333333
16,20326.416666666668,1513.75,695,1238,4923.083333333333,4870.5,0.011648405841666667,2.648834359183333,21792390.961271796,4126792.583052441,21862370.55523303,0.0036433165250000002,5.781574638,0.014539311625,-0.025354403525000003,-0.0022142308500000003,766.8691555853749,145.68919920927502,201220.0754957971,139257.8156078255,129513.7882538409,11533.166666666666,0.567919547725,53.768941233983334,7858979.2448734045,0.087367824825,0.0,0.19444444443333334,119658654.08874518,145660228.79066345,0.015529141316666667,15406095.986915998,936098.636121515,10853236.898412123,9917138.262290608,79722598.87405594,0.15642217911666667,0.9904762913333335,0.9267964051333334,0.5785636797666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9372623903916667,1.1413404192083334,0.0030314878333333336,0.0,0.2271805449416667,0.18060740026553157,-0.11276754014408508,-0.006018892067450654,0.011648405841666667
17,20339.416666666668,1421.0,647,212,5531.25,4166.25,0.25121401662500004,1.5950250464833333,17076574.066906292,3310678.578828655,22098620.637676124,0.224055975775,4.2899133226,-0.02367326930833333,-0.022914633150000002,0.0017835992166666667,419.97794106910834,82.16893763105,202016.3112130733,244232.5873920609,201079.2227368034,20086.916666666668,0.9874889471833334,84.2295275766,11963456.163072824,0.05176549264166667,0.05555555555,0.47222222222500004,135023112.59301555,146318879.6109341,0.011053668975,13104877.12507662,785719.5829564707,14078824.31209754,13293104.72914107,92716584.1930063,0.194806541525,0.9943239653166667,0.9120114216416667,0.5878004717833334,0.0,0.0,0.0,0.0,0.0,0.0,0.7617435820083335,0.85962449855,0.003279230666666667,0.0,0.328272558025,-0.2580026046184548,-0.21639740690896136,0.0006395618181593843,0.25121401662500004
18,20791.833333333332,1372.5,614,202,5610.25,3955.75,0.3023129205833333,1.700396163625,13925115.723993326,3086473.5475193756,19417579.308790404,0.27700820785,3.07926768,-0.023534058175,-0.04986900465,0.0016546516666666666,436.38180089959997,97.06287595051667,208136.1221154888,242085.1157784565,206222.5726435296,20089.333333333332,0.9661433800333334,84.56374835903334,724409.1502856016,0.02918274931666667,0.5000000000166668,0.6666666667,147920472.87217963,154740623.27029955,0.022408342175000002,13677735.050607873,572966.4081932437,10813450.448383229,10240484.040189985,102918039.79715742,0.14378005368333333,0.9506109851416666,0.8977485830916666,0.5962027131666667,0.0,0.0,0.0,0.0,0.0,0.0,0.85022597845,0.93547408825,0.0027883590833333335,0.0,0.5634212712583334,-0.28220748335918844,-0.18454862963528296,0.022243345228681433,0.3023129205833333
19,21154.5,1475.3333333333333,634,306,5996.5,2373.8333333333335,0.5939126321083333,0.978505165675,5221728.218328895,1971521.3719285177,13374260.65580605,0.5791840747166667,3.5045896107,0.019114343258333336,0.022158485275,0.0012940462416666666,207.73547468414168,82.556155716475,213605.5555107996,215301.723631111,200701.0020136878,18669.333333333332,0.8827632646916667,81.08791274250834,409319.8759379089,0.002219514766666667,0.6666666667,0.6666666667,151664004.02640426,160458028.4464477,0.016162881241666666,1446469.8959454244,167432.61276775622,3862602.891248164,3695170.2784804087,106653108.32599819,0.05183066823333334,0.7859440267333334,0.8473521604833333,0.5806483382250001,0.0,0.0,0.0,0.0,0.0,0.0,1.2158108798083334,1.0454940317583332,0.03835613661666667,0.0,0.5251825316166666,0.13812437725452953,-0.6250136572056112,0.017442745949932226,0.5939126321083333
20,21608.833333333332,1752.0833333333333,781,189,6930.166666666667,2188.1666666666665,0.6842163858666667,0.9144926223000001,4238923.423260943,1937860.074240449,12513321.968901332,0.6727630941666667,0.9679742905000001,-0.09899367174166668,-0.11450666454166668,0.0022870302249999998,143.09299396236665,77.75313248999167,219394.5309556768,248149.6627018249,219063.7913549435,21365.25,0.9886346112083334,86.4629502922,196214.6703585386,0.0018293181083333335,0.6666666667,0.6666666667,154143982.25848153,154032535.0604104,0.01,416453.8850179407,261787.6687194152,2782913.89532234,2521126.226602925,109130683.6989246,0.037005792175,0.08333333333333333,0.7686736639583334,0.534271815475,0.0,0.0,0.0,0.0,0.0,0.0,2.1943417928583333,1.4281612156583332,0.04859362450000001,0.0,0.16666666666666666,-0.7237981053346048,-0.18821446731336744,0.021476911925752518,0.6842163858666667
21,22093.416666666668,2043.0833333333333,946,443,7963.75,2040.6666666666667,0.7451488377833333,0.5795212610583333,2533726.6791542056,1819696.5001238605,9428716.423886592,0.7359055313750001,1.5635743894,0.04129156140833334,0.07438151175,0.0018952841833333334,72.06756889604999,53.85035835468333,225137.4422656279,212357.2259600931,198633.3171200947,17813.833333333332,0.8056151907000001,76.18690011952499,433640.6114659905,0.0014842212083333334,0.6666666667,0.6666666667,155404623.32699743,159238588.77170378,0.01,65700.7771428733,189187.7447422848,1408541.5000386941,1219353.7552964091,110390541.48193885,0.0174131602,0.0,0.6971749329,0.4874464906416667,0.0,0.0,0.0,0.0,0.0,0.0,3.2650908699500003,1.8068810399666668,0.028341270308333333,0.0,0.0,0.6153057005184994,-0.40227118394013217,0.022425242763376207,0.7451488377833333
22,22871.666666666668,2329.9166666666665,1092,245,8307.916666666666,2495.9166666666665,0.6985660373916667,0.8153856882833334,1868580.4214293961,1696805.214039169,5900977.250748285,0.68763319935,0.8170800206000001,-0.049481292475,-0.09449114659166667,0.00309841515,50.5212472567,50.876032291625,232737.6531084746,251719.6162688956,226352.391103812,21733.083333333332,0.9508962792416668,82.85811469049166,694222.8710628748,0.003759669191666667,0.6666666667,0.6666666667,156484672.00036618,156417674.41900238,0.01,72242.6954055099,127800.4874337563,1245103.3390329762,1117302.85159922,111469855.8641481,0.016776983658333335,0.0,0.6358744422416667,0.44667416516666664,0.0,0.0,0.0,0.0,0.0,0.0,4.26318097295,2.10641199625,0.022625410066666667,0.0,0.0,-0.4774281120621685,-0.2625169728042035,0.03522542537181139,0.6985660373916667
23,23721.25,2622.6666666666665,1322,350,9474.916666666666,3164.5,0.6672472469166667,0.529133130775,2030613.7733024184,1896165.877391912,5796751.028603862,0.6551784942,1.205204256,0.033058646025,0.09058070817500001,0.00341996025,31.155217077508336,29.944512763116666,240723.90681160032,244500.1513022245,220679.3952652626,20440.666666666668,0.8602308071500001,80.75705344401668,1453201.4550975263,0.005973187258333334,0.6666666667,0.6666666667,157516331.84701034,159329222.0368141,0.01,109136.99680193211,222576.90709749388,1214183.137731866,991606.230634372,112501068.82786238,0.01586681595,0.0,0.5818192297583333,0.4099951468333334,0.0,0.0,0.0,0.0,0.0,0.0,5.333263505175,2.3418966615500003,0.018784543791666667,0.0,0.0,0.47501373869721064,0.08671467923712517,0.03714566785688245,0.6672472469166667
24,24862.916666666668,2956.1666666666665,1489,297,9804.0,3594.0,0.6326272387833334,0.7229392663333334,1675276.7247939322,1847453.389689309,4360762.979868092,0.6193028381083333,0.8526344367,-0.025750111425,-0.04890939639166667,0.004012468075,28.374225625716665,32.57437839384166,251015.6075567079,271789.2127071233,241431.2432585825,23051.5,0.9281708117000002,81.866290687075,1612521.5131745338,0.008193648925,0.6666666667,0.6666666667,158367384.52054593,159958898.917096,0.01,83493.2526422141,125489.871027924,1004272.0188956148,878782.1478676908,113348552.09790757,0.014025454516666667,0.0,0.5326491238750001,0.3767561694833333,0.0,0.0,0.0,0.0,0.0,0.0,4.7684563829,2.2099481771,0.015540373258333335,0.0,0.0,-0.2925394741553252,-0.17498997257888005,0.04812843617712681,0.6326272387833334
25,26144.25,3267.0833333333335,1619,219,10782.666666666666,4456.5,0.58701848365,0.6138496470666667,2074248.3231208052,2240972.495820974,4857588.130604589,0.5720398794333333,0.8678538811000001,0.0019191318416666673,0.023624848483333336,0.00447979195,22.92126596183333,24.846330494175003,262262.7455040017,291886.6880778488,257258.0957277016,25075.833333333332,0.9584717902333334,84.93798648585833,2081492.8635199666,0.009799832366666667,0.6666666667,0.6666666667,159150431.59067973,159096154.02073848,0.01,108695.3120360208,242638.8561663333,1010793.2863923634,768154.43022603,114120817.95359312,0.014710347191666667,0.0,0.4920958462666667,0.34956394555,0.0,0.0,0.0,0.0,0.0,0.0,4.2956888184,2.1718666283583334,0.015617425416666665,0.0,0.0,0.017849905827056034,0.2381526540792529,0.05153592197214718,0.58701848365
26,27581.833333333332,3593.0833333333335,1777,311,11344.916666666666,4646.5,0.5907137963500001,0.65212517805,1685178.6359343452,2042189.397736435,3953568.443874777,0.5758692190166667,0.9410572259000001,0.007556946758333335,0.025698180158333334,0.0044468656,19.61362074885,24.143926290708333,274846.3709418976,285744.8185858693,260272.6122474871,23471.416666666668,0.8515486980583334,79.91674828465,2366147.231878102,0.0114203614,0.6666666667,0.6666666667,159869106.50312603,166323558.80030558,0.01,43513.1458865429,165934.8545961024,861835.085772108,695900.2311760059,114827757.42568894,0.012091549800000002,0.0,0.45538605420000006,0.32500800035,0.0,0.0,0.0,0.0,0.0,0.0,4.276861989025,2.2704531679333333,0.013552083216666668,0.0,0.0,0.08434985012363505,-0.18757141218322704,0.05498659679789375,0.5907137963500001
27,29236.75,3923.5833333333335,1998,270,11906.166666666666,5791.5,0.513106079075,0.7407882511666667,1764798.3799909414,2166742.901701389,3481572.1299626934,0.495446714075,0.7727650661000001,-0.015586765041666666,-0.02623425049166667,0.004955804258333333,18.3218578063,22.856365950666667,289004.8924073408,315913.1480216316,283229.0572555122,27898.583333333332,0.9549969785500001,80.95065884867499,2758499.9391882718,0.013736005025,0.6666666667,0.6666666667,160692784.85417837,161683644.6620938,0.01,75115.6389909177,139609.3835796197,957320.1808965275,817710.7973169081,115631700.32456908,0.014390211758333334,0.0,0.4220732517583334,0.3022340685666667,0.0,0.0,0.0,0.0,0.0,0.0,2.7278997269083334,1.8560982129166668,0.012029716416666668,0.0,0.0,-0.17883307748798194,0.047247064708039854,0.06000024170498697,0.513106079075
28,30997.333333333332,4241.416666666667,2150,238,12573.25,6975.75,0.44551538695,0.6915359143416667,2414617.7741239406,2575048.0710752625,4209443.918711003,0.42540454605833333,0.8161806691,0.005695230833333333,0.007068265008333334,0.005161772908333333,19.172350009341667,20.635594820925,304061.7543067312,343709.9844423728,298419.7468435121,29701.25,0.9572849599000001,83.12357167619167,3453173.72992748,0.0163111634,0.6666666667,0.6666666667,161874191.82319602,161776141.03798252,0.01,155225.4137390548,241065.3513356805,1387156.871494998,1146091.5201593174,116768016.51409419,0.019260537375,0.0,0.39347709094166666,0.2833791993416667,0.0,0.0,0.0,0.0,0.0,0.0,2.1395921094583334,1.6259648249416667,0.01042255195,0.0,0.0,0.05618215018325068,0.3682116900721173,0.06021816150335901,0.44551538695
29,32973.666666666664,4560.75,2308,341,12986.0,6829.25,0.4748188308416667,0.7117076315833334,2203841.7204004335,2455061.8298520227,4015582.7286887006,0.45577080917499996,1.05280137,0.022275151358333332,0.05376532975,0.004996717233333334,19.0187173715,21.866023802608336,320934.8068230437,333942.3392298976,306260.7485900259,29607.416666666668,0.8979500402166667,79.50871044766667,3779581.78564471,0.017650948058333334,0.6666666667,0.6666666667,163112150.77831054,168654901.4192998,0.01,97991.3695366575,178468.2238289067,1358266.964305392,1179798.7404764853,117969590.25326942,0.018184854808333335,0.0,0.36813522100833335,0.266191212825,0.0,0.0,0.0,0.0,0.0,0.0,2.4262201648833335,1.8997979221666668,0.010188497558333334,0.0,0.0,0.2899121602094803,-0.08729168482990224,0.06375817274604256,0.4748188308416667
30,35103.75,4837.083333333333,2468,304,13456.583333333334,7624.833333333333,0.4331442233,0.7921189101166667,2203912.128419416,2478809.1848509437,3741775.4052682533,0.4125846873416667,0.8899556658000001,-0.012915953366666668,-0.023853265616666664,0.005173167925,20.22926854,23.1226021344,339069.9747020846,365461.2425617945,330302.5175151062,33269.333333333336,0.9487350014333334,79.50418520519999,4099593.899151504,0.020837831400000003,0.6666666667,0.6666666667,164415986.54532892,164317507.97490838,0.01,87089.9168112503,120576.6446865495,1398340.6206296345,1277763.9759430846,119234705.21621412,0.018966833341666666,0.0,0.34603456311666664,0.25116079815,0.0,0.0,0.0,0.0,0.0,0.0,1.9691081003166666,1.6480339149,0.007959321566666667,0.0,0.0,-0.1546784691209131,3.1947856477421155e-05,0.0645995289170147,0.4331442233
