period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,119,29,0,1,89,81,0.08988764040000001,0.9135002438000001,1834.2418459265,1896.2853547887,1924.7084653645,0.0470027649,0.9672815546,,,,10.5090709059,10.8645418245,113.1984440377,197.6421720813,112.8576096498,118,0.9915966387,96.3554585442,1178.9166755733,0.1308292413,0.33333333330000003,0.33333333330000003,7876.1042896716,7320.9461227487,0.043761314,0.0,197.5934992122,68.3157648795,0,7470.6057334365,0.8493987467,0.0057630519,0.18737447810000002,0,-0.0425362768,0,0.25,0.33333333330000003,0.8817204301,0.2688172043,0,0,0,0,0,0,1.076444315,1.0105158761,0.0147058824,0.0,0.058823529400000005
2,1,2,118,28,0,1,89,78,0.1235955056,0.8888915303,1582.5136687098,1633.8848611772,1724.4326829743,0.0822989588,0.9685588662000001,0.0013205169,-0.1372382697,-0.0084033613,10.5763050282,10.9196305943,112.2106932099,194.712012067,110.801418329,114,0.9661016949000001,95.9870142275,1593.7147245497,0.1674754173,0.33333333330000003,0.33333333330000003,7931.5663532428,7836.7541901168,0.032087762,0.0,186.9205897277,72.7456172529,0,7470.6057334365,0.8309386638,0.0062589702,0.4399008575,0,-0.2770984916,0,0.05,0.0,0.8817204301,0.2688172043,0,0,0,0,0,0,1.0350145299,0.9325740330000001,0.058823529400000005,0.0,0.0952380952
3,1,3,119,28,1,0,89,75,0.1573033708,0.9536186699,1360.7680399942,1499.1816777279,1542.1130607908,0.11759515270000001,0.9076738732,-0.0628614276,-0.1401224097,0.0084745763,10.598972914299999,11.677071719,111.3540209078,180.3767080098,108.4199433802,114,0.9579831933,93.9783115833,2109.4768198331,0.20835905470000002,0.33333333330000003,0.33333333330000003,7973.3794773546,8614.3685042125,0.0232189475,437.6120141446,161.160139212,58.1121572378,0,7470.6057334365,0.8297458746,0.0037679782,0.4563483826,0,-0.2898622354,0,0.15,0.0,0.8817204301,0.2688172043,0,0,0,0,0,0,0.9922298923,0.9933267805,0.044117647100000004,0.0,0.1044776119
4,1,4,120,29,2,1,86,66,0.2325581395,0.9392424729000001,1189.1025578209,1247.1671402663,1479.7120162701,0.1963959576,0.9534428221000001,0.050424442400000005,-0.126153376,0.0084033613,12.2150479129,12.8115159399,111.9774185295,171.5479745969,108.7035856758,113,0.9416666667,93.226235173,2716.9780173197,0.2476812894,0.33333333330000003,0.33333333330000003,8111.7108862115,8321.396336189,0.0117331073,348.1419160121,135.3950521214,51.8852714308,0,7470.6057334365,0.8267075979,0.0058833285,-0.2291165674,0,0.39652564100000004,0,0.2222222222,0.0,0.8723404255,0.2659574468,0,0,0,0,0,0,1.0682092008,1.0894970385,0.0579710145,0.04,0.171875
5,1,5,121,29,1,0,88,76,0.13636363640000002,0.8166162685,1297.5664477195,1168.9891095516,1434.835319294,0.0956687292,1.1099901933,0.16419167210000002,0.09121491600000001,0.0083333333,11.5376702835,10.3943893854,112.268682615,131.6525132029,108.7942767336,115,0.9504132231,92.8350446692,2936.5101072497,0.2565444395,0.33333333330000003,0.33333333330000003,8307.3727566326,8111.7108862115,0.030304629200000002,0.0,131.9115604226,60.9561434558,0,7470.6057334365,0.8429664623,0.0065256984,0.1199595977,0,0.0305482416,0,0.2777777778,0.0,0.8723404255,0.2659574468,0,0,0,0,0,0,0.9557251036000001,1.0391747451,0.0434782609,0.04,0.3928571429
6,1,6,121,30,1,1,91,70,0.2307692308,0.6838545486000001,1256.3125188105,978.1232299188,1559.7119921032,0.1945227547,1.2844112893,0.15713751080000002,-0.0317933074,0.0,13.1565896307,10.243284017,112.8559092988,126.5802208801,106.1442500318,100,0.8264462810000001,92.7471279765,3221.5846699478,0.2724719539,0.33333333330000003,0.33333333330000003,8462.1906724723,8367.8621231681,0.12,60.4893665355,108.837031483,94.0127284589,0,7470.6057334365,0.8631259425000001,0.0078383958,0.16973872110000002,0,-0.0407030594,0,0.25,0.0,0.8631578947,0.2631578947,0,0,0,0,0,0,0.9607892165,0.9977867712,0.1428571429,0.04,0.3272727273
