period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,122,29,3,1,89,78,0.1235955056,0.6944443032000001,1768.110690771,1504.6128266406,1916.5866526242,0.0774689533,1.17512669,,,,11.1854864603,9.5185366438,113.1984440377,169.9454067158,112.65582635129999,118,0.9672131148,93.8167363594,866.4765483873,0.1268728667,0.33333333330000003,0.6666666667000001,5985.2977811932,5744.107079191,0.0672438929,0.0,99.4771367949,18.420746323,0,6113.5565914646,0.8388203341,0.0021917497,0.2862352899,0,-0.1272473736,0,0.25,0,0.5161290323000001,0.0430107527,0.0,0,0,0,0,0,1.1550767918,1.1949516649,0.0112359551,0,0.15
2,1,2,121,29,0,1,90,78,0.1333333333,0.8412111062000001,1567.7142712156,1330.9590568778,1718.4560280633,0.0877192982,1.1778831686,0.0023456863,-0.11333929520000001,-0.008196721300000001,13.4213016872,11.3944252238,113.8826926006,173.9305778713,110.7387825784,114,0.9421487603,94.3203076414,1430.5832158923,0.19045985270000002,0.6666666667000001,0.6666666667000001,6090.0942276879,6981.5227612946,0.048125990300000004,668.1100673942,75.9860161928,23.7919149597,0,6113.5565914646,0.8594228236,0.0032744053000000003,0.41527564780000004,0,-0.27797287670000004,0,0.15,0,0.5106382979,0.042553191500000004,0.0,0,0,0,0,0,1.180745165,1.2083780881,0.0888888889,0,0.1666666667
3,1,3,124,29,3,0,90,75,0.1666666667,1.0401814315,1018.8442185567,1041.7103756997,1161.4824091547,0.1228070175,0.9780494102,-0.169654991,-0.35010847500000003,0.0247933884,13.4622992561,13.7644367612,113.4278452328,166.5136208081,108.0116185486,110,0.8870967742,90.2295437134,1906.8857550574,0.23626237760000002,0.33333333330000003,0.6666666667000001,6130.08868282,6090.0942276879,0.0440288395,0.0,39.8085220605,18.1392077161,0,6113.5565914646,0.8688820763,0.004716135000000001,0.5678954271000001,0,-0.4414936385,0,0.2,0,0.5106382979,0.042553191500000004,0.0,0,0,0,0,0,1.2212576265,1.2535579986,0.1,0,0.09230769230000001
4,1,4,125,30,1,0,88,58,0.3409090909,0.6814692732000001,873.4622977708,652.4660754361,1258.9904843731,0.30622009570000003,1.3387091385,0.3687540983,-0.142692983,0.0080645161,16.9740920304,12.6794473436,114.9950239516,151.995131873,107.2224929704,114,0.912,88.7418423087,2125.1368276993,0.2541986129,0.33333333330000003,0.6666666667000001,6202.8659291209,6370.8314530021,0.030914664,240.7427701821,38.6362698605,16.9628212753,0,6113.5565914646,0.8574886531,0.0045305451,-0.3854461035,0,0.5234269054,0,0.1052631579,0,0.5157894737000001,0.0421052632,0.0,0,0,0,0,0,1.1406721922,0.9414693778000001,0.0879120879,0,0.15789473680000002
5,1,5,127,30,2,0,91,70,0.2307692308,0.6515764647,1009.031302865,688.0141772086,1246.1536590383,0.1902834008,1.4665850447,0.0955217997,0.1552087657,0.016,15.5502733622,10.6030491842,115.5673340027,110.5722204134,89.4678352163,15,0.11811023620000001,87.5023145313,2122.6030024841,0.24497728130000002,0.33333333330000003,0.6666666667000001,6420.0280299955,6202.8659291209,0.18,0.0,46.1384584168,31.8707146135,0,6113.5565914646,0.8605199990000001,0.0039210507,0.2972052269,0,-0.16164627650000002,0,0.3157894737,0,0.5157894737000001,0.0421052632,0.1428571429,0,0,1,0,-1,1.17069359,0.9951887907,0.1208791209,0,0.375
6,1,6,128,31,2,1,87,60,0.3103448276,0.6785809862000001,1088.8826947759,704.6570778934,1499.9359120538,0.2740471869,1.5452661003000001,0.0536491599,0.0791366845,0.0078740157,20.5717418497,13.3127503711,116.6958450619,104.0799638914,90.2088722844,30,0.234375,84.3126477545,2011.0395687891,0.2162678345,0.33333333330000003,0.6666666667000001,6968.5914318251,6420.0280299955,0.059817230900000004,0.0,55.6000557229,36.0225323877,0,6113.5565914646,0.8394031065,0.0046252891,0.2011107916,0,-0.0451391872,0,0.33333333330000003,0,0.5157894737000001,0.0421052632,0.0,0,0,1,0,-1,1.2474876184,1.0311225261,0.13186813190000002,0,0.3043478261
