period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,122,29,2,0,90,83,0.0777777778,0.9118337584,1418.7964447962,1463.0667605178,1484.608087115,0.0443293034,0.9697414247,,,,10.3770298726,10.7008214851,113.1984440377,196.6887196863,113.1984440377,120,0.9836065574,94.9196788939,673.4357242477,0.1019880866,0.33333333330000003,0.33333333330000003,5963.4798067242,5170.4692080791,0.028761314000000003,0.0,195.8886918594,256.3171947903,60.4285029309,5277.4172924138,0.8700723717000001,0.0105715107,0.4136665513,0,-0.2943104337,0.042591383100000005,0.05,0.33333333330000003,0.9680851064,0.3191489362,0,0,0,0,0,0,0.8817798748000001,1.0816952531,0.0,0,0.0882352941
2,1,2,123,29,1,0,91,83,0.0879120879,0.9077890256000001,1352.0332194631,1390.8058636962,1430.4674357488,0.0548311792,0.9721221737,0.0024550349,-0.0470562395,0.008196721300000001,10.4206557454,10.7194918776,114.2921940005,198.9824029345,114.2921940005,122,0.9918699187000001,95.0576540346,864.906860828,0.1258116799,0.33333333330000003,0.33333333330000003,6043.0017103469,5932.3065515876,0.0180668696,0.0,182.4565951382,262.7268379305,80.2702427923,5344.2554384848,0.8753994223,0.0079623208,0.5577934705,0,-0.44115521360000004,0.0593700226,0.1,0.0,0.9578947368,0.3157894737,0,0,0,0,0,0,1.1754016503,1.0955993496,0.015384615400000001,0,0.1034482759
3,1,3,124,29,1,0,83,72,0.13253012050000001,1.0913054438,997.9218524947,1135.530135938,1110.1187607717,0.1010674824,0.8788158244000001,-0.0959821223,-0.26191025630000003,0.0081300813,12.0338928026,13.6933046369,114.8874351248,185.0200546432,114.8874351248,123,0.9919354839000001,94.782133978,1072.1185397883,0.15109605,0.33333333330000003,0.33333333330000003,6029.2946462316,6400.0025707503,0.0173745682,313.7812870649,111.2046795739,178.9796179604,67.7749383866,5344.2554384848,0.8899287744000001,0.0110575063,-0.018103013600000002,0,0.1171167329,0.067916078,0.2,0.0,0.9578947368,0.3157894737,0,0,0,0,0,0,1.138434839,1.0673072242,0.0,0,0.1428571429
4,1,4,124,30,0,0,91,80,0.1208791209,1.5997889397,908.966704204,1266.8625767604,997.7613891209,0.0889939076,0.7174943209,-0.1835669078,-0.0891403952,0.0,10.8406263348,15.1090064671,115.4527905842,134.655690002,115.4306201881,124,1.0,95.2485522319,1230.3354878892,0.1671709006,0.33333333330000003,0.33333333330000003,6124.6044205114,6029.2311298532,0.01,0.0,106.3903051809,153.440423649,47.0501184681,5383.0142053822,0.8912770158000001,0.0043475416,0.1359012346,0,-0.031525792000000004,0.051762202300000004,0.2105263158,0.33333333330000003,0.9583333333,0.3125,0,0,0,0,0,0,0.8126922537,1.100749077,0.0151515152,0,0.3620689655
5,1,5,124,30,0,0,92,88,0.0434782609,1.5733941994,1018.2349639465,1320.6817476214,1027.2602283997,0.0087857626,0.7709919258,0.07456171190000001,0.12021150970000001,0.0,11.0543787446,14.3378657738,115.5102427836,122.0797315442,115.5102427836,124,1.0,95.2959502965,1247.6862567712,0.16566279080000001,0.33333333330000003,0.33333333330000003,6143.1163988157,6114.0326119899,0.01,0.0,138.0637580552,102.8884390248,0.0,5383.0142053822,0.8752703817,0.0057834289,0.08104397470000001,0,0.037902214600000005,0.0,0.1052631579,0.33333333330000003,0.9583333333,0.3125,0,0,0,0,0,0,0.8843934294,1.0329633376,0.0,0,0.6071428571
6,1,6,124,31,0,0,89,85,0.044943820200000005,1.6637794097,1138.0456124834,1557.9992779122,1149.8946756251,0.0103044769,0.7304532349,-0.0525799163,0.11766503090000001,0.0,11.9736717976,16.3921127677,115.5656453945,111.1342397431,115.5554734773,124,1.0,95.3416574505,1258.5967172405,0.1619738124,0.33333333330000003,0.33333333330000003,6159.17979085,6401.8006796141,0.0825630328,258.6929805563,174.2100488726,113.4237190776,0.0,5383.0142053822,0.8678570989000001,0.0035431009000000003,-0.1039205752,0,0.2325203754,0.0,0.3888888889,0.6666666667000001,0.9484536082,0.3092783505,0,0,0,0,0,0,1.1259258666,1.0465026281,0.0149253731,0,0.5142857143
