period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
11,1,11,910,217,6,3,588,404,0.31292517010000004,0.6142262512000001,9552.382078502,5794.7149886051,13207.8233392357,0.2767633369,1.6484645227999999,0.150796183,0.0407553525,0.0033076075,20.6476519236,12.5253844641,813.028684583,513.6857066482,487.6033073738,454,0.4989010989,54.5520904301,18392.3281103577,0.25294368170000003,0.0,0.6666666667000001,53625.6659996472,50795.728339027,0.0930033241,662.1234045261,315.7462480297,318.6518951697,2.90564714,38160.4118980327,0.264,0.0,0.6325203252,0.0699186992,0.0117647059,0,0,1.0,0,-1.0,0.8859472783000001,0.8926572271000001,0.2325174825,0.2325581395,0.7348837209
12,1,12,917,214,13,6,588,385,0.34523809520000004,0.5887909205,9853.0236379247,5499.2331405779,14295.8415692072,0.31077694240000003,1.7917086594,0.0868954925,0.0314729412,0.0076923077000000005,23.2065460784,12.9521872638,813.9814029743,477.6167343732,456.5526892014,411,0.4482006543,47.1657108053,18658.5558199795,0.23678974360000002,0.0,0.6666666667000001,59526.3299183685,53625.6659996472,0.0545702735,0.0,267.8553755441,432.4479482573,164.5925727132,38160.4118980327,0.2661290323,0.25,0.6323529412000001,0.0669934641,0.0,0,0,1.0,0,-1.0,0.8619050236,0.9373989929000001,0.21366024520000002,0.2926829268,0.8809523810000001
13,2,1,914,211,6,9,588,383,0.3486394558,0.529791706,10159.5039209539,4857.3430255725,14817.4905750519,0.3143573219,2.0915763757,0.1673641051,0.0311052012,-0.0032715376,25.2123737026,12.0542448249,816.3199976765,449.7056843053,427.2570647834,357,0.39059080960000003,39.6759699656,19962.1260907509,0.2340198621,0.0,0.6666666667000001,64470.1930708836,59526.3299183685,0.03,0.0,243.2722658159,511.3101743801,268.0379085642,38160.4118980327,0.1818181818,0.25,0.6299342105,0.0657894737,0.0,0,0,1.0,0,-1.0,0.9064121103,1.1303967859,0.2218309859,0.17500000000000002,0.8426966292
14,2,2,907,207,8,15,578,305,0.47231833910000004,0.5301279244,10736.2594098487,4467.0007572998,19328.7870227801,0.44454562010000004,2.4034603962,0.1491143351,0.056770044400000004,-0.0076586433,37.2060306984,15.4801929575,812.4690705037,391.9526550075,379.2282867051,362,0.39911797130000004,41.2492157952,19708.6535922364,0.2128259716,0.0,0.6666666667000001,70909.5598309014,64470.1930708836,0.0466162218,0.0,231.2140387438,599.6879516348,368.473912891,38160.4118980327,0.1848739496,0.25,0.6256239601,0.06489184690000001,0.0,0,0,1.0,0,-1.0,0.9094979794,1.1862955566,0.24199288260000001,0.2820512821,0.798245614
15,2,3,907,206,4,4,579,271,0.5319516408,0.43689385140000003,13315.1415183962,4801.5534101817,27025.8066132614,0.5073175166,2.7730903691,0.1537907483,0.2402030363,0.0,40.4781039032,14.5967489392,805.1424869284,363.9792333221,390.217458823,346,0.381477398,46.9743194122,20754.0126411133,0.2020252331,0.33333333330000003,0.6666666667000001,79212.7165317808,75958.5378542821,0.03,5049.0365480995,517.7372040309,802.2221123445,284.4849083136,38160.4118980327,0.1008403361,0.25,0.6277128548,0.06510851420000001,0.0,0,0,1.0,0,-1.0,0.8706671383,1.1144039285,0.3017857143,0.33333333330000003,0.6067415730000001
16,2,4,900,203,7,14,576,285,0.5052083333,0.43568669790000003,13601.8827259792,4519.5369685215,26115.61483388,0.4791666667,3.0095743924,0.08527815250000001,0.0215349726,-0.0077177508,42.0858182633,13.9839767276,804.7916892652,400.6107716634,386.1072021333,346,0.38444444440000003,42.7127344508,22693.8220531166,0.2055616855,0.33333333330000003,0.6666666667000001,85160.4311706212,79212.68018585,0.03,0.0,321.6879947463,964.8803590492,643.1923643029,38600.6332777991,0.0087719298,0.25,0.625,0.0641891892,0.0,0,0,1.0,0,-1.0,0.9834937920000001,1.1016143727,0.3700361011,0.3157894737,0.5696202532
17,2,5,895,200,8,13,569,290,0.4903339192,0.46164305590000004,15603.0135898855,4867.8165860876,29083.4792965952,0.4635093886,3.2053413094,0.0650480405,0.1471216084,-0.0055555556,46.9594529577,14.6503752409,796.7359311307,428.1061310548,409.7943154245,358,0.4,45.9462793229,24484.5430745472,0.2055177473,0.0,0.33333333330000003,92231.0323253092,85160.4311706211,0.03,0.0,362.9481903972,1021.3492979583,658.4011075612,39310.08919156,0.0183486239,0.25,0.6273504274,0.064957265,0.0,0,0,0.0,0,0.0,1.0163663736,1.0089009814,0.4186471664,0.3157894737,0.5735294118
18,2,6,890,199,5,10,563,301,0.4653641208,0.48379454530000005,17941.3157882444,5226.7213209654,31880.1088018023,0.4372253903,3.4326138102,0.0709043059,0.1498622164,-0.0055865922000000005,50.6196212906,14.746669474,789.0596012443,469.9435895558,443.9944518446,421,0.47303370790000004,52.2363862963,26584.2557945538,0.2030515454,0.0,0.6666666667000001,102171.8548451527,92231.0323253092,0.03,0.0,410.9535066144,1054.8863257999,643.9328191855,39985.1434155568,0.0091743119,0.33333333330000003,0.6234887737,0.0656303972,0.0,0,0,0.0,0,0.0,1.0663679166,0.9615991944000001,0.37523105360000003,0.39473684210000004,0.4761904762
19,2,7,891,196,14,13,557,311,0.4416517056,0.5153166062,21583.2860733461,5984.266259139,36722.8161598428,0.4122649532,3.6066720862,0.050707212,0.2029934888,0.0011235955,54.5755441169,15.1318286809,783.7434219885,503.7916004496,473.7397951393,454,0.5095398429,57.8895503481,29873.1679131021,0.2001733149,0.0,0.6666666667000001,117417.8117295822,119633.9181375196,0.03,17462.063292367,564.8689102038,1433.8216595853,868.9527493815,40666.7562751983,0.0285714286,0.33333333330000003,0.6241258741,0.0664335664,0.0,0,0,1.0,0,-1.0,1.0546234367,0.9162072927,0.3539325843,0.4210526316,0.3246753247
20,2,8,889,193,11,13,553,323,0.41591320070000004,0.5667978549,23106.0959199775,6308.2449690058,37581.385422787,0.38517179020000003,3.662840621,0.0155735075,0.0705550509,-0.0022446689,58.5466492393,15.9839466951,780.2210043089,524.9522689021,489.7253252392,418,0.4701912261,60.7913575838,31655.7531645056,0.1932339218,0.0,0.6666666667000001,130445.0048537141,117417.8117295822,0.03,0.0,583.0224016477,1444.3591382594,861.3367366117,41564.3111218784,0.0196078431,0.33333333330000003,0.6254416961,0.0653710247,0.0,0,0,1.0,0,-1.0,1.0820779207,1.0592825929,0.3402646503,0.3243243243,0.5072463768000001
21,2,9,882,192,5,12,553,347,0.3725135624,0.6127293761,24869.5136288388,6486.4453364819,37651.8702735172,0.3394879604,3.834074341,0.0467488864,0.0763182891,-0.0078740157,61.5461752867,16.052420953,775.9604954475,561.1836134207,505.4641504056,427,0.4841269841,63.6447607292,33532.4339322797,0.1872728031,0.0,0.6666666667000001,143984.4262227762,131593.4480895962,0.03,1148.443235882,546.4173995924,1392.0530752941,845.6356757017,42372.9463949851,0.03125,0.6666666667000001,0.6234458259,0.0657193606,0.0,0,0,1.0,0,-1.0,1.0401392141,0.9344629197000001,0.3079847909,0.2972972973,0.7611940299000001
22,2,10,880,191,8,10,549,360,0.3442622951,0.6570865855,26143.2201249593,6675.574773411,37874.9901560348,0.3097497843,3.9162500627,0.0214330017,0.0512155772,-0.0022675737,64.8973235066,16.5712920441,769.5181692551,596.936247171,524.8082785861,481,0.5465909091,64.8744691801,35670.1671318189,0.1825715706,0.0,0.33333333330000003,158339.5724437084,157857.9105431538,0.03,13873.4843203776,503.3672903643,1362.3125190035,858.9452286392,43176.6698745565,0.0416666667,0.33333333330000003,0.6236559140000001,0.064516129,0.0,0,0,1.0,0,-1.0,1.0246800849,0.8794692780000001,0.3007662835,0.30555555560000003,0.7714285714
23,2,11,880,186,9,9,546,371,0.3205128205,0.7017647666,25951.1660185719,6579.2188700119,36282.6679618147,0.2847503374,3.9444144558,0.0071916738,-0.0073462299,0.0,67.5031800191,17.1136123691,765.9365405395,613.8827595645,558.7148950378,527,0.5988636364000001,68.7402157541,36799.8660499856,0.1732970886,0.0,0.6666666667000001,174307.847464784,171996.1378452527,0.03,13656.5654015443,503.0467445167,1316.4109579891,813.3642134724,43985.3725116422,0.0217391304,0.6666666667000001,0.6238698011,0.0650994575,0.0,0,0,0.5,0,-0.5,1.0484481506,0.8944677982,0.2920696325,0.3611111111,0.8356164384
24,2,12,880,185,10,10,543,375,0.3093922652,0.7832495845,26597.6145740415,6825.5757435547,36587.6786080514,0.2730444897,3.8967576617,-0.012082096,0.024910193100000002,0.0,72.9542443351,18.721781201,763.2363120922,626.5267529571,588.5783786604,528,0.6000000000000001,72.9959816181,37492.6671105155,0.16847179710000001,0.0,0.6666666667000001,183980.2729015158,174307.847464784,0.03,0.0,398.1142557663,1223.1155012656,825.0012454993,44703.7173319078,0.045977011500000005,0.6666666667000001,0.6188747731,0.0635208711,0.0,0,0,0.6666666667000001,0,-0.6666666667000001,1.0238199632,0.9649027994,0.2771317829,0.3142857143,0.9275362319
