year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,central_bank_monetary_gap_share,average_bank_reserve_ratio,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,recession_flag,recession_intensity,government_countercyclical_spending,government_countercyclical_support_multiplier,government_countercyclical_procurement_multiplier,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
11,5402.583333333333,911.0833333333334,263,109,3011.1666666666665,2349.75,0.21932223616666668,1.2560373050416667,4714029.969836448,1244152.2126013122,5506315.997555029,0.15143721323333334,4.3081920234,0.031874051258333334,0.11612596960833334,0.002378631275,116.127965307325,31.479518392666666,57046.8605815682,54634.1692570729,49276.7324719756,4155.833333333333,0.7687234865583333,82.22642710049166,3999660.818850659,0.5880453242583333,0.0,0.0,1899059.670899584,1891257.7097911467,0.009579252366666667,690475.8010840457,0.11408971110833334,0.19128426746666669,439702.5869332522,821114.1541327939,408938.9440829647,2909913.6370206135,1.0,0.8115686915666668,290642.9609839013,1.8115686915666667,2.136196168208333,0.90027306505,0.0038563512583333335,0.1278086403,0.0,-0.031938056575000005,0.130610359275,0.22488511063333336,0.06815509168333334,0.8587927624083335,0.4068940467,0.05418361725,0.0,0.0,0.9981007727333333,0.5446509675166668,0.0007227636916666667,0.906628986325,0.9471818441166667,0.009191146708333334,0.007830340083333333,0.592875071225,0.434808032710025,0.6070594467879196,-0.011586955527435272,0.21932223616666668
12,5547.333333333333,881.9166666666666,203,95,2937.0833333333335,2295.25,0.21781833723333333,1.6111969631,4350202.732670151,1207969.7757189272,5085851.417923486,0.14980254045833333,2.7712597475000003,-0.03360525203333333,-0.07424362876666667,0.0016281932416666667,144.35676854889167,42.55564341406667,58225.0255781139,66390.0599609971,56831.284676992196,5238.916666666667,0.9446138202666666,84.95574138273334,4639883.244526203,0.606478056475,0.0,0.0,2158376.353381227,2127915.361357909,0.005963762391666666,457697.3511711245,0.04428636804166667,0.19396567699166667,294081.7495740957,815593.0342105553,552050.0377767194,3335055.5035039578,1.0,0.8344995430583334,291048.8343859147,1.8344995430583335,2.168299360275,0.9148109119000001,0.014875695950000002,0.06303630097500001,0.0,0.007277091175000007,0.15426802001666667,0.2239608735416667,0.08254947420000001,0.85923030445,0.42385167586666667,0.17115384614999998,0.0,0.0,0.9980998914166667,0.62259603445,-0.00311774485,1.0177988661416666,0.9854523322833334,0.004351493858333334,0.0034996052833333336,0.5956592980000001,-0.35674646523463494,-0.07717966145618727,0.02679273804198612,0.21781833723333333
13,5649.75,844.3333333333334,171,88,2948.5,2666.9166666666665,0.09496010279166667,2.598414498575,4074584.5930366693,1749090.939023862,4188587.4731107783,0.02731365,1.8092995543,-0.033558060683333335,0.002435900325,0.0012303049083333335,128.294527475125,56.230265754816664,59148.0951208711,67249.5848281304,57026.241732950104,5104.416666666667,0.903627001225,85.30587326084999,5302759.847127153,0.6226411470833334,0.0,0.0,2018423.439221426,2020145.7472351652,0.008908744525,479428.3784801486,0.035438559933333336,0.197546255425,135365.4577078499,328305.7313460863,192940.2736382366,3523255.20399968,0.4166666666666667,0.2865188219916667,66366.5838449998,1.2865188219916666,1.4011263507916667,0.9543953595666667,0.00758660295,0.039889164016666666,0.0,-0.0018711265500000003,0.051386966166666666,0.14938963856666668,0.2540555827666667,0.8586460688833334,0.43931440206666666,0.03214285715,0.0,0.0,0.9980936819166667,0.672571341825,0.005664493991666668,1.0391766973916667,1.0508567980583334,0.014659320316666669,0.007273878708333334,0.9235983136333333,-0.34712018390473887,-0.06335753907825514,0.01846232423987515,0.09496010279166667
14,5697.916666666667,820.25,150,95,2848.5,2001.9166666666667,0.29633627000833335,1.7418823738833333,3268804.926435854,1624854.6334348938,4328681.747154308,0.23514811959166668,1.9070897443,0.005231416650000001,-0.02340082390833333,0.000805018825,96.52803553084999,48.55152638254166,59648.837754444,64868.4354418237,57023.0254316585,5186.666666666667,0.9099261937666667,84.98184558384166,5936210.274068965,0.652095990675,0.0,0.0,1952538.3141045873,2164013.729148928,0.0013087921,396679.404780044,0.032417417325,0.19789564050833333,229526.4912312548,550035.3374132846,320508.84618203,3845245.0557966502,0.8333333333333334,0.7870112902666667,208315.0518408126,1.7870112902666666,2.101815806375,0.90699003965,0.010847982425,0.11020492782500001,0.0,-0.02804294989166667,0.10156192095833333,0.112200282225,0.15217288838333334,0.8522743141833334,0.45424010765833334,0.019444444441666667,0.0,0.0,0.9901728633083334,0.6862236151083333,0.0186563183,1.0477547063,1.017418145225,0.0192756634,0.013501643875000002,0.5634105629583334,0.05404864538190535,-0.19775750096779587,0.008525450978656979,0.29633627000833335
15,5758.166666666667,799.75,121,66,2796.1666666666665,1776.0,0.3646024740666667,1.722202231975,1789567.8925855644,1417931.5483699501,2605572.6914695255,0.3093505153,1.0951470063,-0.04323807779166666,0.009242018666666666,0.0007971904666666667,67.59869825131666,51.970792142375,60422.1316159258,70303.6404971535,59759.6369367441,5396.666666666667,0.9374340175750001,89.22618827959167,6521087.805269828,0.6834191877583334,0.0,0.0,1793869.9409070257,2211712.8093296103,0.0,542178.6744742632,0.06240128547499999,0.19633314113333333,157575.8751545581,422063.5127827427,264487.6376281844,4123080.6928905114,1.0,1.0,179337.3195115262,2.0,2.4,0.8768621561750001,0.017075212175,0.07758267754166666,0.0,0.028479954133333332,0.15688415485833335,0.06249606715,0.10744348244166668,0.84372207365,0.464431029325,0.0,0.0,0.0,0.9835724043833335,0.6988810396583335,0.007778009875000001,1.0017704498416666,0.9890286058583334,0.016416162408333334,0.020869845933333336,0.7414878357583333,-0.4257496221280477,-0.4525314502212212,0.010574040219378356,0.3646024740666667
16,5791.083333333333,772.0,102,81,3056.5,2105.5,0.31078777718333334,1.3535768537666666,1665422.1302417244,1302264.5720551694,2234357.799295615,0.2508562795666667,1.3029845301,0.014950353791666668,-0.03240396990833333,0.00030233012500000006,43.991932664175,34.16372315155834,61039.938267723905,65106.3428206619,57844.4630157905,4823.166666666667,0.8328368757916667,89.46891365621667,6956360.75805048,0.7147505536666667,0.0,0.0,1636696.5633290545,1685631.6226187882,0.0,332768.4939941706,0.04140540976666667,0.1962903351416667,141692.0816604626,346134.2523989458,204442.1707384831,4313591.93143851,1.0,1.0,142236.7617051576,2.0,2.4,0.8901936113,0.0096348407,0.09848636235000001,0.0,0.0016851856249999984,0.14495084185,0.04993961680833334,0.06944444444166667,0.8278849995833334,0.4674513868166667,0.016478891483333334,0.0,0.0,0.9693284253666667,0.7009403930000001,0.060395341600000006,1.0350691810416668,0.9607427043833333,0.03820468303333333,0.0369183492,0.667672062575,0.18978047933691378,-0.06937192093029476,0.005716518567831175,0.31078777718333334
17,5811.416666666667,739.0,91,77,3097.9166666666665,2141.0,0.3088062422,1.1673032502833334,1408446.923669287,1209494.289254117,1874780.5684176642,0.2487024371666667,1.0921667181,-0.013942660316666668,-0.010967505808333335,0.00020101068333333333,33.06037588893333,28.417506442533334,61528.4450550866,68937.532364078,60386.9984750531,5404.083333333333,0.9298955809500001,88.14768644750835,7410406.504979121,0.7343611492666667,0.0,0.0,1526785.6229422255,1542635.108382776,0.000359416325,201881.6624605301,0.02242768516666667,0.19840524856666666,121375.5506176791,307979.3701208567,186603.8195031776,4498531.81173324,1.0,1.0,126772.1606841945,2.0,2.4,0.8823539081249999,0.012949638158333334,0.11482232595000001,0.0,-0.010125872266666667,0.13472357475833333,0.04300617839166667,0.0,0.8144112587083333,0.47315060421666666,0.010505329341666666,0.0,0.0,0.9733609632666668,0.7044965036666667,0.047447633083333336,1.0164839498666667,0.8935106286750001,0.018437295508333333,0.026897974700000004,0.87068142495,-0.16179609744393542,-0.15430034338209453,0.0035111450074110095,0.3088062422
18,5847.5,713.0833333333334,96,49,3191.8333333333335,2140.3333333333335,0.32937508050833336,0.9769627762416667,1464865.7835064377,1230088.6362789017,2013748.3968330552,0.2710598701083333,1.2215314198,0.009729516233333334,0.019987402691666666,0.0006712847083333334,29.014440718325,24.357728911908335,62163.5341027223,65519.1515277397,58236.040442456004,4724.916666666667,0.8082381238500002,90.22947594868333,7784891.221626436,0.7504341977833334,0.0,0.0,1537494.4488241326,1542001.9297163626,0.0,297113.2192612228,0.035589310000000006,0.19767512369999998,138529.8114662596,338059.4365655256,199529.62509926572,4706335.413258797,1.0,1.0,139345.9787566769,2.0,2.4,0.8738479329083333,0.008932680458333333,0.13678153436666665,0.0,-0.019562147733333337,0.13682637868333333,0.05830777010833333,0.0,0.8028209801666667,0.47585617033333333,0.008304522275000002,0.0,0.0,0.9636097999000001,0.7036154416666668,0.06731021209166667,1.0053997212583334,0.8661648204083333,0.021830353991666666,0.039821382658333335,0.7464101553583333,0.11844776036121174,0.040057498006505154,0.006209042545564092,0.32937508050833336
19,5874.833333333333,702.5833333333334,90,74,3125.5833333333335,2458.0,0.212175033475,1.454986793775,2678025.7692719586,1818625.9803259843,3113152.0739804115,0.14366851464166666,1.753308515,0.03071922909166667,0.04996793295833333,0.00022725246666666665,50.24941223914166,33.90846727274167,62791.3677741441,64087.7201202184,58935.6244216853,4847.166666666667,0.8250680899666666,85.92560369061665,8138326.857963307,0.7569580723166668,0.0,0.0,1491679.3281520477,1604449.9812083645,0.005249898825000001,658018.5404303725,0.07675418418333334,0.19394593194166668,300186.6685269894,272825.9716031374,58482.160541956204,4733895.359066423,0.75,0.625739169725,74944.29031945,1.6257391697249999,1.876034837625,0.8571534170916667,0.005819098716666666,0.15105009436666667,0.0,-0.014022610158333332,0.026420575808333333,0.131211731475,0.0,0.7848745139833334,0.469605056625,0.007224211558333335,0.0,0.0,0.9699136921916667,0.6964207380083334,0.069224533525,1.0742049593,1.044242905625,0.021877312666666666,0.03048856279166667,0.40497808681666664,0.43533640361626347,0.8281714266419613,0.004674362263075382,0.212175033475
20,5894.166666666667,708.3333333333334,94,62,3076.5833333333335,2082.5833333333335,0.323820281975,1.4813797810083333,1586455.346774844,1246157.7869807286,2140716.8928556056,0.2650220456166667,0.7658067018,-0.062783939425,-0.07417759954166667,0.0004526379333333334,42.54568357014167,37.401996110566664,63287.8885111696,74547.4130671896,62743.5671859875,5687.333333333333,0.9649676125416667,91.21692934756668,8541323.258423783,0.773062799075,0.0,0.0,1417035.5419737354,1467668.1895841572,0.0,220868.38426982128,0.026649134716666665,0.1978220697666667,144626.2405253357,365132.6794532987,220506.4389279632,4890434.499472525,1.0,1.0,150030.5828842968,2.0,2.4,0.8840908834416666,0.010132138850000002,0.10893166336666667,0.0,-0.003154685666666665,0.14495963274166668,0.06962363615833334,0.0,0.7623873094583334,0.45984610305833334,0.021674187483333333,0.0,0.0,0.962881254325,0.6874277861416668,0.060959844166666666,0.9662224629916668,0.8521493101666667,0.020002327683333335,0.0348431109,0.5890013011083334,-0.5632219342754974,-0.4076026582798217,0.003290873499957492,0.323820281975
