period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,median_wage,median_wage.1,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_writeoffs,bank_nonperforming_loan_share,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,central_bank_monetary_gap_share,average_bank_reserve_ratio,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,recession_flag,recession_intensity,government_countercyclical_spending,government_countercyclical_support_multiplier,government_countercyclical_procurement_multiplier,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
11,1,11,5052,1306,4,7,3534,2976,0.15789473680000002,0.9521024487,68153.5420683027,80942.8693156347,74457.7447096207,0.0846681922,0.8419956278,0.029214570300000003,0.033432072,-0.0005934718,11.068160195899999,10.2581065786,10.2581065786,13.1451516255,4724.0121262063,4548.3379473683,4189.9786125486,3929,0.7777117973000001,85.15114432,60770.1752804213,352.0481053315,0.0038336719,0.1865904608,0.0,0.0,263452.8644820577,256385.5203671603,0.007587299400000001,0.0,-0.0275653013,0.1995139284,8124.3992436015,6325.9036955939,0.0,188299.2561664365,1,0.26090718890000003,1019.8932164483,1.2609071889,1.3652700645,0.8475624276,0.0027636097,0.16208686560000002,0,-0.0124129029,0.0,0.4665099882,0.0,0.8662386303,0.19582664530000002,0.0,0,0,0.9090909091,0.0,-0.9090909091,1.0240257057,0.9499186101,0.1111111111,0.11885245900000001,0.9772727273
12,1,12,5059,1302,10,3,3529,2832,0.19750637570000001,0.9346155505,71005.5571729217,82106.0578885767,81402.6562013353,0.12772432150000002,0.8648029025,0.027087165200000003,0.0418469095,0.0013855899,11.8346759221,10.4952136078,10.4952136078,13.6848244706,4722.787901521,4490.3642217526,4111.0430971987,3701,0.7315675035,81.9930637618,65590.9514907986,777.5666794658,0.0,0.1926276881,0.0,0.33333333330000003,273633.3204191735,274730.1972928722,0.0,6766.3996864887,0.003992560300000001,0.1985346883,8521.8503356272,7274.6452154274,0.0,188299.2561664365,1,0.2958173827,1349.6491302113,1.2958173827000001,1.4141443357,0.8434896789,0.0072777258,0.1514105018,0,-0.0021779065,0.0,0.5211267606000001,0.0142857143,0.8655439722,0.1956696071,0.0,0,0,0.8461538462,0.0,-0.8461538462,1.0171497587,0.9516108401000001,0.12495845800000001,0.1284153005,0.9945533769
13,2,1,5058,1301,8,9,3526,2750,0.2200794101,0.8969001029,71307.6645446989,81338.1771125718,84115.0396981235,0.1522602284,0.87668137,0.0137354621,0.0042547004,-0.0001976675,11.9838315684,10.6471934027,10.6471934027,13.6695405862,4727.9042745355,4521.3364888242,4142.7662202546,3645,0.7206405694,81.0155896467,69892.6122004362,523.9174032557,0.0,0.19533596990000002,0.0,0.0,286160.9860989883,273633.3204191735,0.0,0.0,-0.0457826761,0.1990475474,8318.0610831191,9269.4178554356,951.3567723165,188299.2561664365,1,0.4784663699,2549.6691123316,1.4784663699,1.6698529178000001,0.8466173737,0.0083005755,0.1553919845,0,-0.0103099338,0.013341578100000001,0.5140515222,0.0,0.8643659711,0.19555912250000002,0.0084033613,0,0,0.7647058824,0.0,-0.7647058824,1.0039634818,0.9544450631,0.1446624543,0.1545827633,0.9963099631000001
14,2,2,5062,1300,12,8,3547,2761,0.2215957147,0.8338650739,69367.4218097794,77230.938468851,81985.7100856735,0.1539083855,0.8981817803000001,0.0245247715,-0.0272094556,0.0007908264,11.4317830204,10.6296485899,10.6296485899,12.7276941827,4725.9521747668,4601.4150372767,4252.4835850362,3590,0.7092058475,85.0138759485,76881.328486902,0.0,0.0,0.2047214139,0.0,0.33333333330000003,297144.1834196749,286160.9860989883,0.0,0.0,-0.0383811835,0.1993809058,7378.3395055577,11843.6508645313,4465.3113589735,188299.2561664365,1,0.6965205552,4273.6671247396,1.6965205552,1.9751287773000001,0.8600811569,0.0072825817000000004,0.1561290619,0,-0.023492800600000002,0.0643718801,0.4764150943,0.0,0.8636728148,0.1962042235,0.037209302300000004,0,0,0.7272727273,0.0,-0.7272727273,1.0159684861,0.9323165916,0.151646159,0.1730245232,0.9987684729
15,2,3,5060,1299,6,8,3554,2772,0.2200337648,0.8393496881,70816.2211527163,77540.4168301036,83530.4408292256,0.1522106139,0.9132814092,0.016811328400000002,0.0208858756,-0.0003951008,11.7757049478,10.882364143,10.882364143,12.8938406379,4728.0916787367,4726.5073066829,4361.8471040532,3735,0.7381422925000001,87.7597894418,87396.640417207,0.0,0.0,0.22052064570000002,0.0,0.33333333330000003,307695.3902715345,297144.1834196749,0.0,0.0,-0.0355087107,0.1995975888,7497.3742586392,13183.1357443501,5685.7614857109,188299.2561664365,1,0.8978879131,5570.1007870621,1.8978879131,2.2570430783,0.8647331875000001,0.0052251928,0.1438600454,0,-0.0138184258,0.0802889704,0.4368358914,0.0,0.8627503338,0.1959946595,0.0,0,0,0.7333333333000001,0.0,-0.7333333333000001,1.0087451792,0.9506066943,0.1431418134,0.151226158,0.9912826899
16,2,4,5057,1297,9,12,3551,2834,0.2019149535,0.8433003749,74023.7627309872,79799.612941828,85331.5846651788,0.1325162538,0.9276205736,0.0157007077,0.0452938822,-0.0005928854000000001,12.1835310233,11.1893125591,11.1893125591,13.1341750818,4726.8911436519,4869.6326664401,4464.4265420969,4002,0.7913782875,86.1268415543,94516.1853770184,0.0,0.0245622209,0.22450537950000002,0.0,0.0,324048.5955947182,307695.3902715345,0.0,0.0,-0.0531473848,0.1997384327,7766.31832793,13260.7320471458,5494.4137192158,192088.7489104375,1,0.9691000194,5819.8263293353,1.9691000194,2.3567400272,0.8663925241,0.0044713262,0.13347802320000002,0,-0.0043418735,0.07422499910000001,0.4287396938,0.0,0.8619951859,0.1963091736,0.0091324201,0,0,0.9090909091,0.0,-0.9090909091,0.9849555134,0.9513757108,0.146422629,0.1730245232,0.9951923077
17,2,5,5067,1295,12,2,3541,2580,0.2713922621,0.8380148142,77469.1836439525,80961.6488637179,97818.956953712,0.2080350675,0.9568627212,0.031523823900000005,0.0465447957,0.001977457,14.0105575519,11.63014221,11.63014221,14.6421814139,4722.9532754159,4982.1592183656,4516.7767715834,3865,0.7627787646,87.4064758652,98735.805963536,3390.4788398679,0.0,0.2222250244,0.0,0.0,341576.0614995119,334128.8363698274,0.0,6048.1444650655,-0.0222884837,0.198985257,8359.8148389041,13337.9345006478,4978.1196617437,197176.7234847951,1,0.9116797294000001,5661.1032255948,1.9116797294,2.2763516211,0.8597318331,0.0066985193000000005,0.121348246,0,0.0122214016,0.0642593536,0.3990498812,0.0,0.8611852643000001,0.19647624130000002,0.010593220300000001,0,0,0.8,0.0,-0.8,0.9734434495000001,0.949316887,0.1671096346,0.19429347830000002,0.9931389365000001
18,2,6,5069,1289,11,9,3546,2539,0.2839819515,0.7021256703000001,74470.5386744256,75293.3400188802,95685.9896527578,0.22171951250000002,0.9890720568,0.033661396600000004,-0.0387075845,0.00039471090000000003,12.4232694986,11.598576982800001,11.598576982800001,12.56053026,4729.429791461,5071.3051315024,4517.5269109319,4016,0.7922667193,86.4354032031,108521.6359439191,202.8617946847,0.0,0.2281852822,0.0,0.0,363358.3032367384,341576.0614995119,0.0,0.0,-0.06376981350000001,0.19934041700000002,7889.6886263947,19066.6254246253,11176.9367982306,208108.7366350871,1,1.0,8695.2505067125,2.0,2.4,0.8597482237,0.009495827200000001,0.18473861100000002,0,-0.053982661800000005,0.15008534910000002,0.2591715976,0.0,0.8609625668,0.1967914439,0.0101694915,0,0,0.9047619048000001,0.0,-0.9047619048000001,0.9682251598,0.9348515802,0.2020639148,0.222826087,0.6909765142000001
19,2,7,5074,1290,14,9,3548,2601,0.2669109357,0.7076575453,77032.1674178109,75526.1524761795,96672.5565546026,0.2031640606,1.0199403106,0.0312093074,0.0343978812,0.0009863878,12.7000108371,12.0887798068,12.0887798068,12.4517196788,4728.6841524512,5207.5383166352,4479.5279272065,3764,0.7418210485000001,85.4521799836,119700.3633420651,0.0,0.0,0.23581604420000002,0.0,0.0,384588.9671538093,365019.6453141977,0.0,996.8052464756,-0.0536116949,0.1994438325,8087.4436492247,19473.2105269965,11385.7668777718,219871.659116822,1,1.0,8937.6989335995,2.0,2.4,0.8592629969000001,0.0112639425,0.16847588530000002,0,-0.0390028247,0.1478053553,0.17695962,0.0,0.8599679316000001,0.196686264,0.014947683100000001,0,0,0.8,0.0,-0.8,0.9735758172000001,0.9527105280000001,0.22687957420000002,0.25,0.49354005170000004
20,2,8,5082,1284,9,1,3550,2600,0.2676056338,0.7358878629000001,76818.1355957476,76067.8303232705,96495.3964829661,0.2039191672,1.0098636345,-0.009879672400000001,-0.0027784733,0.0015766654,13.1190070129,12.5491119538,12.5491119538,12.9908698216,4731.077516701,5310.9381534723,4506.3731810513,3841,0.7558048013,87.5252714929,131837.3898646453,0.0,0.0,0.24458556050000002,0.0,0.0,404330.0790106814,390473.1210638584,0.0,3530.4923460295,-0.0354876103,0.1992165509,8623.9255616805,20209.8477407391,11585.9221790585,231735.8318001049,1,1.0,9317.5537179635,2.0,2.4,0.8490415962000001,0.0126873726,0.1296157732,0,0.008655258,0.1508227463,0.1623222749,0.0,0.859775641,0.1968482906,0.0046511628,0,0,0.9245283019,0.0,-0.9245283019,0.9657307496,0.9632232106,0.21715996010000002,0.2428765265,0.6351197263
21,2,9,5079,1282,4,7,3550,2576,0.2743661972,0.727428462,77216.8197840091,74673.4024688781,97899.8965118686,0.21126760560000002,1.0340605521,0.023960579200000002,0.0051899748,-0.0005903188,13.565471608,12.9044179469,12.9044179469,13.118643372,4737.6614420251,5481.4067485269,4634.3757753528,4156,0.8182713133,92.5563714281,144591.0964194019,0.0,0.0,0.25439046800000004,0.0,0.0,421430.8248569861,404330.0790106814,0.0,0.0,-0.0422940235,0.1994907581,8977.7319210383,20562.9537311741,11585.2218101357,243034.1460080933,1,1.0,9468.2663416445,2.0,2.4,0.8473671233000001,0.0097992548,0.1209360767,0,0.021897545100000002,0.1500349515,0.1431952663,0.0,0.8600427350000001,0.1979166667,0.0015243902,0,0,0.8793103448,0.0,-0.8793103448,0.9369947678,0.9655068477000001,0.2261072261,0.2496626181,0.8732171157
